BinBase name,GC1,GC2,GC3,GC4,GC13,GC14,GC15,GC16,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC17,GC18,GC19,GC20,GC21,GC22,GC23,GC24
117001,3800,3206,5481,5757,2993,4473,4004,3563,3997,3851,3569,3660,4363,3751,3783,3747,4608,4997,2973,3124,6008,4955,4144,3910
116942,713,460,1937,1785,1221,861,1818,1002,489,226,174,1303,576,918,2034,1046,1520,934,1366,417,1938,1898,928,956
115903,104,181,1434,712,381,193,1036,591,212,80,46,581,304,445,1746,488,687,211,1465,625,584,309,489,421
114253,1712,1094,376,2740,640,1393,1652,1606,1662,3112,1827,2197,1813,2324,1181,1593,1895,1753,2682,1580,2310,4425,1642,1608
113898,86,76,187,68,177,199,169,252,136,65,200,223,64,141,143,64,151,144,172,138,95,220,202,154
113505,4022,4058,5982,5978,2843,4857,3237,3648,4938,5085,3336,3343,3798,3751,3697,4126,5008,5886,3143,3068,4397,4045,3335,3749
113504,4497,3852,7428,8173,3985,5197,5225,4426,4850,4353,3775,4639,5105,4966,4852,4924,5725,6191,4347,3743,6657,6338,5009,5479
113502,5533,4372,9035,9988,5509,6304,6458,5055,5487,4756,4403,5449,5547,5415,5970,5787,6950,7056,5060,4135,7542,7406,5810,6279
111830,23176,13665,53086,51414,19124,19056,36756,27108,8575,9464,16954,21134,30057,31246,22312,22283,21022,24512,23181,18643,58043,47663,26014,23105
111670,1041,860,1950,1805,758,1022,1268,992,936,880,946,1073,1146,1252,979,945,1212,1358,1078,974,1780,1744,991,1034
111057,57,71,204,174,40,66,138,180,6299,7047,5109,9082,10681,9911,10255,8242,3122,3946,6014,4877,8041,8016,8812,7672
110621,135,105,788,694,107,144,566,638,330,139,118,111,272,243,97,128,189,115,85,133,256,342,108,187
109997,355,414,451,473,218,365,294,314,3280,3910,2942,2283,1634,1532,1425,1277,1091,1091,2991,2677,1041,1196,1119,1231
109435,4496,5013,4409,4468,2720,4431,2825,3014,4488,5079,2865,2361,2420,2355,2504,2820,4065,4679,2492,2582,2392,2643,2751,2607
109386,94,48,153,159,44,59,59,67,256,591,531,365,483,479,202,74,148,135,600,609,216,352,284,249
